Nombre_Barrio;RATIO_AIRBNB_HECTAREA;PRECIO_M2;SUPERFCIE_M2;RATIO_PUERTA;RATIO_LOCAL_HECTAREA;TAM_HOGAR_MEDIO;RATIO_HOGARES_1PER;HIPOT_MEDIA;DENSIDAD_HAB;EDAD_PROMEDIO;EDAD_MEDIANA;PROPOR_DE_JUVENTUD;PROPOR_ENVEJECIMIENTO;PROPOR_DESOBREENVEJECIMIENTO;IND_ENVEJECIMIENTO;IND_JUVENTUD;IND_DEPENDENCIA;IND_ESTRUCTURA_POBLA_ACTIVA;IND_REEMPLAZO_POBLA_ACTIVA;RZ_PROGRESIVIDAD_DEMO;PROPOR_EXTRANJEROS;PROPOR_NACIDOS_FUERA_ESPAÑA;PROPOR_INMIG_EXTRANJ;TOTAL_COMPRAVENTA;SIN_ESTUDIOS;ESTUDIOS_SECUNDARIOS;ESTUDIOS_UNIVERSITARIOS
PUEBLO NUEVO;0.2;2228;66.93;0.873;14.92;2.56;0.284;103884.57;260.5;45.32;45.21;12.93;22.2;37.6;171.62;58.27;54.16;79.79;59.82;100.91;14.7;27.08;11.19;720;0.231;0.559;0.209
PROSPERIDAD;0.89;3730;75.39;0.796;18.6;2.3;0.364;193984.78;346.99;46.52;46.09;11.36;24.4;33.35;214.73;46.57;55.68;86.47;39.55;110.89;9.3;15.94;5.97;533;0.09;0.404;0.506
PRADOLONGO;0.11;1677;73.86;0.952;11.18;2.85;0.261;90692.38;153.49;42.66;41.87;14.56;18.21;40.2;125.08;79.95;48.73;91.71;79.19;101.16;29.68;40.9;26.98;229;0.327;0.576;0.097
PORTAZGO;0.15;1535;68.58;0.967;11.19;2.61;0.276;80146.42;222.08;44.97;44.65;13.74;22.25;39.83;161.92;61.76;56.23;84.45;63.52;96.57;11.95;19.41;8.79;298;0.37;0.528;0.102
PIOVERA;0.03;4403;159.29;0.846;0.95;3.04;0.203;456428.16;46.1;40;42.21;18.65;13.08;25.3;70.11;142.63;46.48;70.3;102.9;83.56;14.03;20.29;4.29;208;0.047;0.319;0.634
PINAR DEL REY;0.15;2500;71.89;0.837;10.02;2.48;0.274;129723.83;195.01;46.89;47.3;12.5;26.3;32.37;210.33;47.54;63.39;76.39;56.03;95.82;9.15;16.13;5.87;552;0.225;0.527;0.247
PILAR;0.22;2786;64.94;0.813;17.22;2.38;0.302;146168.42;336.03;48.31;47.81;10.96;29.66;31.16;270.64;36.95;68.4;83.71;47.53;107.34;9.8;16.97;7.05;382;0.212;0.494;0.294
PEÑAGRANDE;0.12;3341;100.53;0.775;3.7;2.64;0.245;205892.31;153.3;45.89;46.79;13.15;24.53;26.7;186.5;53.62;60.46;78.6;45.81;100.65;6.94;12.08;4.53;411;0.163;0.457;0.38
PAVONES;0.04;2269;76.76;0.939;2.27;2.8;0.231;117166.77;90.28;45.75;46.91;13.09;23.42;35.74;178.96;55.88;57.51;76.43;62.22;85.24;9.14;14.53;4.14;74;0.25;0.513;0.237
PALOS DE MOGUER;4.15;3565;65.94;0.786;24.26;2.2;0.403;156640.28;394.48;45.56;44.24;10.07;20.35;39.21;202.06;49.49;43.72;89.27;43.15;113.56;13.91;23;9.75;311;0.141;0.438;0.421
PALOMERAS SURESTE;0.04;1642;76.8;0.716;5.62;2.66;0.248;89748.79;135.08;43.47;43.84;14.1;18.46;37.4;130.9;76.39;48.29;79.65;76.86;92.55;9.93;16.51;6.91;443;0.325;0.549;0.127
PALOMERAS BAJAS;0.19;1565;66.82;0.854;7.65;2.65;0.257;88921.52;228.14;42.91;44.61;14.23;16.33;39.02;114.76;87.14;44.01;73.2;94.43;87.96;11.53;18.9;8.6;395;0.258;0.572;0.17
PALOMAS;0.1;3203;171.73;0.796;1;3.08;0.17;373828.83;59.14;39.19;41.82;21.89;13.89;17.78;63.43;157.65;55.72;63.47;104.72;62.37;8.8;13.69;3.05;63;0.041;0.335;0.624
PALACIO;6.95;4474;70.79;0.685;17.76;2;0.476;181468.69;152.07;45.5;44.15;8.84;18.78;35.34;212.5;47.06;38.17;85.59;33.43;109.93;16.53;23.94;7.57;235;0.116;0.397;0.488
PACÍFICO;1.75;3555;70.37;0.714;20.44;2.3;0.348;156508.66;443.51;47.04;47.5;11.16;24.27;36.2;217.48;45.98;54.87;77.36;41.19;110.77;7.87;13.82;4.85;373;0.109;0.409;0.481
ORCASUR;0.04;1710;91.49;0.576;3.16;2.86;0.245;100490.72;96.09;40.7;41.13;17.4;14.84;38.57;85.3;117.24;47.56;82.58;97.93;102.44;11.48;19.65;8.84;141;0.349;0.519;0.132
ORCASITAS;0.01;1702;100.55;0.9;2.81;2.67;0.241;116247.15;165.13;43.22;43.71;18.01;19.76;44.4;109.74;91.12;60.69;64.16;76.99;74.18;6.66;11.19;4.62;121;0.332;0.542;0.126
OPAÑEL;0.46;1887;68.53;0.867;16.88;2.48;0.325;87832.92;289.18;45.03;44.53;12.46;21.31;40.06;170.98;58.48;51;84.72;63.41;102.75;18.44;29.34;14.52;234;0.228;0.567;0.205
NUMANCIA;0.34;1783;61.09;0.883;12.24;2.58;0.3;82502.53;248.12;43.58;43.15;13.69;19.02;37.97;138.88;72;48.62;85.99;67.44;101.06;17.98;28.75;14.06;643;0.297;0.559;0.143
NUEVA ESPAÑA;0.3;4929;119.4;0.635;7.05;2.68;0.318;381513.92;134.69;43.35;43.25;16.94;21.16;35.68;124.9;80.06;61.54;79.88;71.16;99.63;8.66;15.35;4.61;219;0.048;0.304;0.648
NIÑO JESÚS;0.39;3983;113.96;0.746;9.68;2.72;0.257;296861.95;235.9;46.15;47.11;14.73;26.17;32.4;177.72;56.27;69.21;74.2;56.41;101.67;4.88;9.22;2.33;162;0.058;0.319;0.623
MOSCARDÓ;0.39;1788;65.98;0.894;14.7;2.63;0.3;106025.19;278.92;44.1;43.33;13.22;19.73;42.01;149.19;67.03;49.15;87.23;66.67;98.12;24.5;35.6;21.14;250;0.249;0.586;0.165
MIRASIERRA;0.02;3607;113.62;0.668;0.57;3.11;0.19;292673.16;44.14;38.98;40.49;21.53;14.42;21.66;66.97;149.31;56.13;76.26;104.62;90.43;4.75;9.21;2.02;561;0.063;0.321;0.616
