N_ANNO;DISTRITO;Nombre_Barrio;RATIO_AIRBNB_HECTAREA;PRECIO_M2;SUPERFCIE_M2;RATIO_PUERTA;RATIO_LOCAL_HECTAREA;TAM_HOGAR_MEDIO;RATIO_HOGARES_1PER;HIPOT_MEDIA;DENSIDAD_HAB;EDAD_PROMEDIO;EDAD_MEDIANA;PROPOR_ENVEJECIMIENTO;PROPOR_DESOBREENVEJECIMIENTO;IND_ENVEJECIMIENTO;IND_JUVENTUD;IND_DEPENDENCIA;IND_ESTRUCTURA_POBLA_ACTIVA;RZ_PROGRESIVIDAD_DEMO;PROPOR_EXTRANJEROS;PROPOR_NACIDOS_FUERA_ESPAÑA;PROPOR_INMIG_EXTRANJ;TOTAL_COMPRAVENTA;SIN_ESTUDIOS;CLUSTER_JERAR;CLUSTER_KNN
2017;FUENCARRAL-EL PARDO;LA PAZ;0.06;3429;116.48;0.786;3.61;2.71;0.195;219656.58;156.88;48.26;50.73;29.57;19.86;275.75;36.26;67.49;83.51;115.89;4.58;8.81;2.62;188;0.094;0;0
2019;FUENCARRAL-EL PARDO;LA PAZ;0.06;3580;108.53;0.766;3.73;2.69;0.203;237502.76;156.7;48.93;51.23;31.85;20.62;285.71;35;75.43;80.6;108.45;5.22;9.76;3.16;152;0.086;0;0
2018;FUENCARRAL-EL PARDO;LA PAZ;0.06;3549;109.85;0.774;3.69;2.69;0.202;249234.12;156.78;48.62;50.99;30.74;20.39;282.28;35.43;71.32;82.26;108.43;4.8;9.19;2.82;198;0.09;0;0
2016;FUENCARRAL-EL PARDO;LA PAZ;0.06;2960;110.42;0.799;3.54;2.74;0.192;207749.01;157.76;47.85;50.36;28.21;19.55;268.73;37.21;63.17;84.34;113.15;4.62;8.85;2.65;159;0.097;0;0
2017;ARGANZUELA;LEGAZPI;0.25;3594;94.84;0.779;4.23;2.56;0.275;220668.01;133.89;37.38;39.31;7.79;27.24;37.87;264.09;39.62;75.95;111.06;6.86;11.83;3.96;94;0.063;0;0
2019;ARGANZUELA;LEGAZPI;0.25;4394;83.92;0.774;4.34;2.58;0.269;272605.3;138.94;38.19;40.23;8.66;24.74;44.07;226.91;39.49;71.32;100.31;7.08;11.94;4.12;96;0.057;0;0
2018;ARGANZUELA;LEGAZPI;0.25;4263;86.77;0.777;4.31;2.57;0.273;211463.57;136.11;37.83;39.87;8.33;26.76;41.21;242.67;39.92;72.55;106.67;6.85;11.75;3.97;177;0.061;0;0
2016;ARGANZUELA;LEGAZPI;0.25;3395;104.48;0.788;4.16;2.55;0.278;253480.12;130.08;37.11;38.84;7.53;28.74;36.6;273.21;39.07;80.49;116.93;7.11;12.01;4.13;126;0.067;0;0
2017;SALAMANCA;LISTA;2.38;4835;90.83;0.628;29.49;2.27;0.392;295176.81;399.01;45.84;44.45;23.9;37.9;205.25;48.72;55.15;99.03;115.6;13.34;20.25;7.44;284;0.074;1;0
2019;SALAMANCA;LISTA;2.38;5713;88.04;0.612;30.51;2.27;0.392;366426.83;402.93;45.97;44.62;23.91;36.59;211.57;47.27;54.35;97.24;108.78;13.73;20.95;7.42;182;0.066;1;0
2018;SALAMANCA;LISTA;2.38;5498;87.98;0.619;30.16;2.27;0.392;285353.28;402.83;45.94;44.56;23.96;37.69;208.99;47.85;54.87;98.31;112.79;13.41;20.52;7.32;336;0.069;1;0
2016;SALAMANCA;LISTA;2.38;4465;94.56;0.633;29.14;2.29;0.387;294239.81;396.62;45.88;44.54;23.9;38.08;205.76;48.6;55.09;98.06;115.24;13;19.95;7.28;266;0.08;1;0
